0,Восточные женщины хороши до безобразия! А так же во время безобразия и после безобразия! 
1,– Лавина! – Ловлю на! 
2, 27 мая 2006 года в Москве пройдет ... этого информационного сообщения - Московский арматурный завод №2
3,"Бог первым создал мужчину, чтобы он успел хоть что-нибудь сказать. "
4,Шутка дня: Пару раз чихнуть в переполненном автобусе ... Чтоб я еще раз когда-нибудь поехал в Китай.
5,"Бабка торгующая цветами говорит прохоящему мимо мужику. - ... букетик, неделю стоять будет. - Правда!? Давай четыре!"
6,— Бублик! Бублик! Обидно дражнили дети смертельно раненого Колобка.
7,"- Почему блондинки меняют памперсы, своим детям только ... на упаковке написано рассчитано на 4-6 кг !"
8,первым из КГБ прорвавшийся к власти был Алексий II 
9,У него было тяжелое детство. Восьмибитные игрушки.
10,"Бабка жалуется врачу: Ноги болят, руки болят, спина ... . Доктор ставит диагноз Ушиб всей бабки ."
11,Почему Бог создал алкоголь? - Чтобы страшные женщины тоже смогли потр@хаться. 
12,"- Чем бы занималась Спящая Красавица, если бы ожила? - Скреблась ногтями о крышку гроба. "
13,"Никогда не ешьте последнюю котлету со сковороды: одной котлетой не наешься, а пустую сковородку придёться мыть. "
14,"Хозяин: - Вам грибочков положить? Гость: - Нет, "
